"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"C1";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"C2";"100uF";"CPOL-EUUD-5X5,8";"UD-5X5,8_NICHICON";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"0";"C";
"C3";"100uF";"CPOL-EUUD-5X5,8";"UD-5X5,8_NICHICON";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"0";"C";
"C4";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"C5";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"C6";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"C7";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"73";"C";
"C8";"10uF";"CPOL-EUE5-8.5";"E5-8,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"0";"C";
"C9";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"C10";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"88";"C";
"C11";"10uF";"CPOL-EUE5-8.5";"E5-8,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"0";"C";
"CZUJNIK_OPADOW";"";"MA04-1";"MA04-1";"PIN HEADER";"";"";"unknown";"unknown";"41";"";
"CZUJNIK_WILGOTNOSCI";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";"48";"";
"H1";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"3";"";
"H2";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"3";"";
"H3";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"3";"";
"H4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"3";"";
"JP1";"";"PINHD-1X20";"1X20";"PIN HEADER";"";"";"";"";"6";"";
"JP2";"";"PINHD-1X20";"1X20";"PIN HEADER";"";"";"";"";"6";"";
"L1";"100m";"L-EUL2012C";"L2012C";"INDUCTOR, European symbol";"";"";"";"";"2";"L";
"LED1";"";"LEDSML0805";"SML0805";"LED";"";"";"";"";"17";"";
"LED3";"";"LEDSML0805";"SML0805";"LED";"";"";"";"";"17";"";
"LED4";"";"LEDSML0805";"SML0805";"LED";"";"";"";"";"17";"";
"Q1";"BC547B";"BC547B";"TO92";"NPN Transistor";"";"";"";"";"47";"";
"R1";"220R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"R2";"750R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"R3";"34R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"R5";"750R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"R6";"1kR";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"R7";"750R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"86";"R";
"RADIATOR1";"332-02";"332-02";"332-02";"2 Pin - 2mm Dual Row";"";"";"";"";"7";"";
"SERVO";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";"48";"";
"USB-5V";"332-02";"332-02";"332-02";"2 Pin - 2mm Dual Row";"";"";"";"";"7";"";
"X3";"";"RPI_PICO_IG-TH";"RPI_PICO_TH";"";"";"";"";"";"";"";
"ZASILANIE";"332-02";"332-02";"332-02";"2 Pin - 2mm Dual Row";"";"";"";"";"7";"";
